Tiempo;ErrorMat;Caidas;NivelFrustracion;Estado
51.09523;0;0;0;Optimo
67.49435;0;0;0;Optimo
39.93077;1;0;6.287879;Optimo
63.69583;1;0;6.287879;Optimo
74.83662;1;0;6.287879;Optimo
52.65627;0;0;6.287879;Optimo
95.37796;0;0;6.287879;Optimo
97.47997;0;0;0;Optimo
97.50771;0;0;0;Optimo
97.50771;0;0;0;Optimo
105.8957;0;1;6.287879;Optimo
136.6553;0;1;6.287879;Optimo
173.3447;0;0;0;Optimo
175.1799;0;0;0;Optimo
175.2206;0;0;0;Optimo
175.2206;0;0;0;Optimo
234.2936;0;0;0;Optimo
51.11795;0;0;0;Optimo
57.05998;0;0;0;Optimo
57.09831;0;0;0;Optimo
57.09831;0;0;0;Optimo
82.35808;0;0;0;Optimo
58.36083;0;0;6.287879;Optimo
67.73771;1;1;6.287879;Optimo
77.33674;2;2;7.619048;Optimo
81.45744;2;3;8.166666;Optimo
84.39997;2;4;82.66892;Bloqueado
84.41724;2;4;82.66892;Bloqueado
205.4839;2;4;82.66892;Bloqueado
206.7199;0;0;0;Optimo
206.745;0;0;0;Optimo
218.4399;0;0;0;Optimo
218.4715;0;0;0;Optimo
218.4715;0;0;0;Optimo
262.1984;0;0;0;Optimo
67.61542;1;0;6.287879;Optimo
82.06099;2;0;31.7102;Enganchado
82.0827;2;0;31.7102;Enganchado
134.8691;2;0;31.7102;Enganchado
61.96408;1;1;6.287879;Optimo
69.61475;2;2;7.619048;Optimo
73.63255;2;2;7.619048;Optimo
75.89797;2;3;8.166666;Optimo
82.99217;3;3;40;Enganchado
84.78542;3;3;40;Enganchado
94.15791;4;3;54.03934;Frustrado
94.17708;4;3;54.03934;Frustrado
51.85605;1;0;6.287879;Optimo
62.44415;2;0;31.7102;Enganchado
62.46148;2;0;31.7102;Enganchado
96.58819;2;0;31.7102;Enganchado
98.49996;0;0;0;Optimo
98.5388;0;0;0;Optimo
98.5388;0;0;0;Optimo
117.7443;0;1;6.287879;Optimo
130.9558;0;0;0;Optimo
130.9558;0;0;0;Optimo
156.6251;0;0;0;Optimo
51.40187;0;0;0;Optimo
52.79998;0;0;0;Optimo
52.83566;0;0;0;Optimo
52.83566;0;0;0;Optimo
96.03018;0;0;0;Optimo
88.13612;0;0;0;Optimo
89.31997;0;0;0;Optimo
89.34637;0;0;0;Optimo
89.34637;0;0;0;Optimo
120.5347;0;0;0;Optimo
56.53315;0;0;0;Optimo
57.81998;0;0;0;Optimo
57.84553;0;0;0;Optimo
57.84553;0;0;0;Optimo
105.9358;0;0;0;Optimo
136.7195;0;0;0;Optimo
66.51484;0;0;0;Optimo
68.11997;0;0;0;Optimo
68.14595;0;0;0;Optimo
68.14595;0;0;0;Optimo
101.6118;0;0;0;Optimo
51.62054;0;0;0;Optimo
53.07998;0;0;0;Optimo
53.11452;0;0;0;Optimo
53.11452;0;0;0;Optimo
79.41249;0;0;0;Optimo
6.219998;0;0;0;Optimo
6.244145;0;0;0;Optimo
6.244145;0;0;0;Optimo
37.73797;1;0;6.287879;Optimo
43.28492;2;0;31.7102;Enganchado
43.29979;2;0;31.7102;Enganchado
51.91405;3;0;56.88515;Frustrado
51.92883;3;0;56.88515;Frustrado
62.72887;4;0;60.75893;Frustrado
99.31785;4;0;60.75893;Frustrado
100.68;0;0;0;Optimo
100.7044;0;0;0;Optimo
136.2599;0;0;0;Optimo
136.3035;0;0;0;Optimo
136.3035;0;0;0;Optimo
39.20124;1;0;6.287879;Optimo
70.22161;1;0;6.287879;Bloqueado
21.16968;1;0;6.287879;Optimo
17.48086;0;0;0;Optimo
17.48086;0;0;0;Optimo
13.40915;0;0;6.287879;Optimo
15.8324;0;0;28.10606;Enganchado
15.84864;0;0;28.10606;Enganchado
25.32195;0;0;0;Optimo
25.32195;0;0;0;Optimo
51.42656;1;0;6.287879;Optimo
62.10439;2;0;31.7102;Enganchado
62.11653;2;0;31.7102;Enganchado
81.6439;0;0;0;Optimo
81.6439;0;0;0;Optimo
1.90755;0;0;6.287879;Optimo
2.224323;0;0;28.10606;Enganchado
2.237789;0;0;28.10606;Enganchado
2.62452;0;0;41.41447;Enganchado
3.30548;0;0;54.32243;Frustrado
3.314102;0;0;54.32243;Frustrado
48.98143;0;0;0;Optimo
50.26278;0;0;0;Optimo
50.26278;0;0;0;Optimo
86.9944;0;0;0;Optimo
42.10447;1;0;6.287879;Optimo
52.0002;1;1;6.287879;Optimo
59.54035;2;1;31.7102;Enganchado
59.55859;2;1;31.7102;Enganchado
71.22243;2;1;46.17586;Frustrado
71.23959;2;1;46.17586;Frustrado
111.1195;2;1;46.17586;Frustrado
72.74004;0;0;0;Optimo
73.93304;0;0;0;Optimo
73.93304;0;0;0;Optimo
106.9305;0;0;0;Optimo
33.84484;0;0;6.287879;Optimo
34.55692;0;0;28.10606;Enganchado
34.57133;0;0;28.10606;Enganchado
36.60203;0;0;41.41447;Enganchado
37.41277;0;0;54.32243;Frustrado
37.42881;0;0;54.32243;Frustrado
69.81867;0;0;54.32243;Frustrado
82.06052;1;0;6.287879;Optimo
91.55769;2;0;31.7102;Enganchado
91.57603;2;0;31.7102;Enganchado
102.9953;3;0;56.88515;Frustrado
103.0126;3;0;56.88515;Frustrado
147.8228;3;0;56.88515;Frustrado
42.05545;0;0;0;Optimo
43.3854;0;0;0;Optimo
43.3854;0;0;0;Optimo
79.6956;0;0;0;Optimo
47.31128;0;0;6.287879;Optimo
49.26713;0;0;28.10606;Enganchado
49.28472;0;0;28.10606;Enganchado
57.80931;1;0;41.41447;Enganchado
61.42545;1;0;54.32243;Frustrado
61.44312;1;0;54.32243;Frustrado
87.68282;1;0;54.32243;Frustrado
3,878055;0;1;6,287879;Optimo
7,865561;0;1;6,287879;Optimo
9,802794;0;2;7,115384;Optimo
13,36179;0;2;30,14637;Enganchado
13,38295;0;2;30,14637;Enganchado
38,02882;1;2;44,10463;Enganchado
46,524;2;2;46,17586;Frustrado
49,06025;2;3;48,88576;Frustrado
116,2324;2;3;48,88576;Frustrado
12,88722;0;0;0;Optimo
12,88722;0;0;0;Optimo
13,40071;0;1;6,287879;Optimo
16,61029;0;2;7,115384;Optimo
20,21908;0;2;7,115384;Optimo
22,68362;0;3;8,166666;Optimo
24,99999;0;4;82,66892;Bloqueado
25,02639;0;4;82,66892;Bloqueado
3,571424;0;0;6,287879;Optimo
16,96708;2;0;31,7102;Enganchado
17,00179;2;0;31,7102;Enganchado
43,25969;3;0;56,88515;Frustrado
43,28363;3;0;56,88515;Frustrado
8,002906;0;0;0;Optimo
8,002906;0;0;0;Optimo
26,02501;1;0;6,287879;Optimo
38,87744;1;0;28,10606;Enganchado
38,90788;1;0;28,10606;Enganchado
59,1543;1;0;41,41447;Enganchado
65,65036;1;0;54,32243;Frustrado
65,67767;1;0;54,32243;Frustrado
13,32259;0;0;6,287879;Optimo
21,29108;1;0;28,10606;Enganchado
21,32063;1;0;28,10606;Enganchado
57,46463;0;0;0;Optimo
57,46463;0;0;0;Optimo
69,19363;0;0;0;Optimo
69,19363;0;0;0;Optimo
76,4227;0;0;6,287879;Optimo
86,81846;0;0;28,10606;Enganchado
86,84511;0;0;28,10606;Enganchado
97,07529;0;0;41,41447;Enganchado
98,15625;0;0;54,32243;Frustrado
98,18282;0;0;54,32243;Frustrado
8.119745;0;0;6.287879;Optimo
25.54812;1;0;28.10606;Enganchado
25.56815;1;0;28.10606;Enganchado
38.47499;2;0;46.17586;Frustrado
38.48675;2;0;46.17586;Frustrado
86.19683;2;0;62.53396;Frustrado
14.37537;0;0;0;Optimo
14.37537;0;0;0;Optimo
18.78937;0;0;6.287879;Optimo
19.70093;0;0;28.10606;Enganchado
19.7165;0;0;28.10606;Enganchado
28.12346;0;0;41.41447;Enganchado
32.59072;0;0;54.32243;Frustrado
32.6089;0;0;54.32243;Frustrado
8.908102;0;0;6.287879;Optimo
17.20381;0;0;28.10606;Enganchado
17.21905;0;0;28.10606;Enganchado
26.19905;1;0;41.41447;Enganchado
34.77618;1;0;54.32243;Frustrado
34.79696;1;0;54.32243;Frustrado
11.28884;0;0;6.287879;Optimo
11.43042;0;0;28.10606;Enganchado
11.45358;0;0;28.10606;Enganchado
12.13287;0;0;41.41447;Enganchado
12.77253;0;0;54.32243;Frustrado
12.78518;0;0;54.32243;Frustrado
23.72467;0;0;60.19608;Frustrado
